dataset,task,track,method,variant,comparison_family,accuracy,macro_f1,weighted_f1,attack_recall,normal_recall,rare_recall,mcc,features,false_alerts_per_day,total_alerts_per_day,missed_attacks_per_day,operational_precision,source_file,limitation
nsl_kdd,binary,supervised_reference,Dummy (most_frequent),balanced where supported,classical_ml,0.4308,0.3011,,0.0,,attack 0.000,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,LogReg (balanced),balanced where supported,classical_ml,0.7543,0.7539,,0.625,,attack 0.625,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,RandomForest (balanced),balanced where supported,classical_ml,0.7674,0.7662,,0.612,,attack 0.612,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,ExtraTrees (balanced),balanced where supported,classical_ml,0.7882,0.7877,,0.649,,attack 0.649,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,HistGradientBoosting (balanced),balanced where supported,classical_ml,0.7972,0.7968,,0.665,,attack 0.665,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,LightGBM (balanced),balanced where supported,classical_ml,0.7842,0.7835,,0.642,,attack 0.642,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,Dummy (most_frequent),balanced where supported,classical_ml,0.4308,0.1204,,,,R2L 0.000 / U2R 0.000,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,LogReg (balanced),balanced where supported,classical_ml,0.7913,0.6069,,,,R2L 0.236 / U2R 0.552,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,RandomForest (balanced),balanced where supported,classical_ml,0.7437,0.5128,,,,R2L 0.017 / U2R 0.104,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,ExtraTrees (balanced),balanced where supported,classical_ml,0.7653,0.5325,,,,R2L 0.047 / U2R 0.090,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,HistGradientBoosting (balanced),balanced where supported,classical_ml,0.7895,0.6382,,,,R2L 0.248 / U2R 0.284,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,LightGBM (balanced),balanced where supported,classical_ml,0.7629,0.5792,,,,R2L 0.079 / U2R 0.239,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,phase3_tree_boosting,RandomForest,KDDTest+,tree_boosting,0.7772,0.7763,0.7744,,,,,,,,,,results/metrics.md,only RF/LightGBM in this artifact
nsl_kdd,binary,phase3_tree_boosting,RandomForest,KDDTest-21,tree_boosting,0.5761,0.5462,0.6204,,,,,,,,,,results/metrics.md,only RF/LightGBM in this artifact
nsl_kdd,binary,phase3_tree_boosting,LightGBM,KDDTest+,tree_boosting,0.785,0.7845,0.7829,,,,,,,,,,results/metrics.md,only RF/LightGBM in this artifact
nsl_kdd,binary,phase3_tree_boosting,LightGBM,KDDTest-21,tree_boosting,0.5911,0.5579,0.6351,,,,,,,,,,results/metrics.md,only RF/LightGBM in this artifact
nsl_kdd,multiclass,phase3_tree_boosting,RandomForest,KDDTest+,tree_boosting,0.743,0.5038,0.7019,,,,,,,,,,results/metrics.md,only RF/LightGBM in this artifact
nsl_kdd,multiclass,phase3_tree_boosting,LightGBM,KDDTest+,tree_boosting,0.5614,0.2806,0.4932,,,,,,,,,,results/metrics.md,only RF/LightGBM in this artifact
nsl_kdd,binary,phase4_mlp_weighting,MLP (unweighted),weighted/unweighted,neural_mlp,0.8105,0.8104,,0.688,,attack 0.688,,,,,,,results/metrics.md,single run; stability reported separately
nsl_kdd,binary,phase4_mlp_weighting,MLP (weighted),weighted/unweighted,neural_mlp,0.7975,0.7975,,0.7,,attack 0.700,,,,,,,results/metrics.md,single run; stability reported separately
nsl_kdd,multiclass,phase4_mlp_weighting,MLP (unweighted),weighted/unweighted,neural_mlp,0.7484,0.5634,,,,R2L 0.013 / U2R 0.269,,,,,,,results/metrics.md,single run; stability reported separately
nsl_kdd,multiclass,phase4_mlp_weighting,MLP (weighted),weighted/unweighted,neural_mlp,0.7764,0.5605,,,,R2L 0.122 / U2R 0.537,,,,,,,results/metrics.md,single run; stability reported separately
nsl_kdd,binary,first_dataset_learning_lab,DummyClassifier,most_frequent,naive_baseline,0.4307576295244854,0.3010696016121532,0.2593760558246646,0.0,1.0,,0.0,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,DummyClassifier,stratified,naive_baseline,0.4980482611781405,0.4974058315272223,0.4998942501006301,0.4688693212810722,0.5366079703429101,,0.0054367247502978,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,LogReg,l2_C1_unweighted,logistic_regression,0.7533711852377573,0.7528907888295946,0.7513819381391682,0.6230031948881789,0.9256513232416846,,0.5578886548090612,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,LogReg,l2_C1_balanced,logistic_regression,0.7543914123491838,0.7539535716309977,0.7525162017864372,0.6255746902516949,0.92462156317578,,0.5589513605571592,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,LogReg,validation_F1_threshold_0.35,threshold_policy,0.7624645138396026,0.7622513745033687,0.7612655656030395,0.643419309592457,0.9197816908660282,,0.5690833176403773,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,LogReg,validation_F2_attack_weighted_0.15,threshold_policy,0.7860184528034067,0.7860153388106761,0.78612838398864,0.6937582794358295,0.9079394501081248,,0.6010684049872235,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,LogReg,l2_C0.1_balanced,logistic_regression,0.7545244854506742,0.7540748141976947,0.7526185137290202,0.6251850697420712,0.9254453712285038,,0.5595441968967032,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,LogReg,l1_C0.1_balanced,logistic_regression,0.7542583392476934,0.753806307202237,0.7523453920408341,0.6248733733343723,0.9252394192153228,,0.559041571707222,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,LogReg,elasticnet_balanced,logistic_regression,0.7433907026259758,0.7426554660727268,0.7407505627372548,0.6060157406685888,0.9249304911955516,,0.5424145227356157,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,DecisionTree,balanced_depth18,tree_family,0.8067334989354152,0.806693817366235,0.8070773649172589,0.7211875633133328,0.9197816908660282,,0.6386568416063996,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,RandomForest,balanced_depth18,tree_family,0.7632185947480482,0.7618899774608461,0.7594268283096318,0.6047689550377932,0.9726083822469364,,0.5970912922168555,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,ExtraTrees,balanced_depth18,tree_family,0.7581618168914124,0.7577618984326308,0.7563988575720234,0.6302501363671784,0.9271959633405416,,0.5659075362073238,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,HistGradientBoosting,default,boosting,0.7951561391057488,0.7947793369422256,0.7935615560369262,0.6607963843216706,0.972711358253527,,0.6437900897677079,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,SGDClassifier,log_loss_balanced,linear_online,0.7621540099361249,0.7618960736656692,0.7608107946409215,0.6405361178212421,0.9228709710637422,,0.5700020926587055,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,KNN,k5_train_cap,instance_based,0.7681422995031938,0.7670281751166572,0.7647970677819766,0.6139639990649107,0.9718875502008032,,0.6037970631033726,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,OneClassSVM,normal_only_nu0.05,benign_only_anomaly,0.7830021291696239,0.7829825740623308,0.7826972888054666,0.67942024468168,0.9198846668726188,,0.6010289079211368,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_learning_lab,AutoEncoder,normal_only_q0.95,benign_only_anomaly,0.8018541518807665,0.801845024926156,0.8020312625228496,0.7102781890438713,0.9228709710637422,,0.6319983591536251,,,,,,results/nsl_kdd_learning_lab.csv,inner KDDTrain+ dev split for fitting/tuning; KDDTest+ final evaluation
nsl_kdd,binary,first_dataset_feature_ablation,LogReg,dst_host_behavior,feature_group_ablation,0.7890347764371894,0.7888437905425363,0.7879643540187796,0.666640691966025,0.950777468849758,,0.6239010575892356,10.0,,,,,results/nsl_kdd_feature_group_ablation.csv,feature groups tested with balanced Logistic Regression only
nsl_kdd,binary,first_dataset_feature_ablation,LogReg,categorical_one_hot,feature_group_ablation,0.7817157558552165,0.7817100756056186,0.7818642820338335,0.6911088599703888,0.9014519616929256,,0.5917403957295813,83.0,,,,,results/nsl_kdd_feature_group_ablation.csv,feature groups tested with balanced Logistic Regression only
nsl_kdd,binary,first_dataset_feature_ablation,LogReg,protocol_service_flag,feature_group_ablation,0.7817157558552165,0.7817100756056186,0.7818642820338335,0.6911088599703888,0.9014519616929256,,0.5917403957295813,83.0,,,,,results/nsl_kdd_feature_group_ablation.csv,feature groups tested with balanced Logistic Regression only
nsl_kdd,binary,first_dataset_feature_ablation,LogReg,connection_count_rates,feature_group_ablation,0.7661018452803406,0.7656883868796256,0.764325327611376,0.6360165199096081,0.9380084440325404,,0.583110767397804,9.0,,,,,results/nsl_kdd_feature_group_ablation.csv,feature groups tested with balanced Logistic Regression only
nsl_kdd,binary,first_dataset_feature_ablation,LogReg,content_login_shell,feature_group_ablation,0.7590046132008517,0.7561975783787335,0.7598203823120336,0.7609288552949427,0.7564617444135516,,0.5138962173770915,13.0,,,,,results/nsl_kdd_feature_group_ablation.csv,feature groups tested with balanced Logistic Regression only
nsl_kdd,binary,first_dataset_feature_ablation,LogReg,all_features,feature_group_ablation,0.7544801277501775,0.7540350370601633,0.7525860556897522,0.6253409179459207,0.9251364432087325,,0.5593301865012267,121.0,,,,,results/nsl_kdd_feature_group_ablation.csv,feature groups tested with balanced Logistic Regression only
nsl_kdd,binary,first_dataset_feature_ablation,LogReg,numeric_only,feature_group_ablation,0.748624911284599,0.7479401843749005,0.7461208504071738,0.6117821242110185,0.9294614354855318,,0.5525524973729881,38.0,,,,,results/nsl_kdd_feature_group_ablation.csv,feature groups tested with balanced Logistic Regression only
nsl_kdd,binary,first_dataset_feature_ablation,LogReg,byte_volume,feature_group_ablation,0.4582594038325053,0.3601156751873332,0.325411323524605,0.0585210005454687,0.9865101431366492,,0.1150073199337208,2.0,,,,,results/nsl_kdd_feature_group_ablation.csv,feature groups tested with balanced Logistic Regression only
nsl_kdd,binary,threshold_tuning,LogReg,default_0.50,threshold_policy,0.7539921930447125,0.7535187848579559,0.7520228533204514,0.6237824359074262,0.9260632272680466,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,LogReg,validation_F1,threshold_policy,0.7587828246983677,0.7584937196450245,0.7573365581366434,0.6360944440115328,0.9209144269385232,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,LogReg,validation_F2_attack_recall_weighted,threshold_policy,0.7830464868701207,0.78304445448042,0.7831364127506393,0.690485467154991,0.9053650499433632,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,LogReg_balanced,default_0.50,threshold_policy,0.754347054648687,0.7538989270415251,0.7524446085492592,0.6251071456401465,0.9251364432087325,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,LogReg_balanced,validation_F1,threshold_policy,0.759625621007807,0.7593642389067109,0.7582659415720919,0.6382763188654251,0.9199876428792092,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,LogReg_balanced,validation_F2_attack_recall_weighted,threshold_policy,0.7790986515259049,0.7790960071035504,0.7789901624036727,0.6812904231278735,0.9083513541344866,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,ExtraTrees_balanced,default_0.50,threshold_policy,0.7881032647267565,0.7875817865402038,0.7861242620116295,0.6487181485233383,0.972299454227165,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,ExtraTrees_balanced,validation_F1,threshold_policy,0.7858853797019163,0.7853081047408299,0.7837664003537368,0.6447440193251773,0.9724024302337556,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,ExtraTrees_balanced,validation_F2_attack_recall_weighted,threshold_policy,0.8126774308019872,0.8126017649461187,0.8131232413302724,0.7314735447673966,0.9199876428792092,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
