dataset,task,track,method,variant,comparison_family,accuracy,macro_f1,weighted_f1,attack_recall,normal_recall,rare_recall,mcc,features,false_alerts_per_day,total_alerts_per_day,missed_attacks_per_day,operational_precision,source_file,limitation
nsl_kdd,binary,threshold_tuning,HistGB_balanced,default_0.50,threshold_policy,0.797152235628105,0.796826263012123,0.7956992569134563,0.6650042858256059,0.9717845741942128,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,HistGB_balanced,validation_F1,threshold_policy,0.8160042583392477,0.8159269525173112,0.815404552569073,0.6987454219590119,0.9709607661414892,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,threshold_tuning,HistGB_balanced,validation_F2_attack_recall_weighted,threshold_policy,0.8230571327182399,0.8230311813599127,0.8227344042877616,0.7123042156939141,0.969416126042632,,,,,,,,results/threshold_ablation.csv,threshold selected on one validation split
nsl_kdd,binary,feature_learning,LogisticRegression,raw_all_features,feature_representation,0.754347054648687,0.7538989270415251,0.7524446085492592,0.6251071456401465,0.9251364432087325,,0.559127695147746,122.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
nsl_kdd,binary,feature_learning,LogisticRegression,mutual_info_top_30,feature_representation,0.7467175301632364,0.7461240412357562,0.744424158270992,0.6134185303514377,0.9228709710637422,,0.546449628730576,30.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
nsl_kdd,binary,feature_learning,LogisticRegression,pca_30,feature_representation,0.7199254790631654,0.7181724666908582,0.7150943426040509,0.5630795605080652,0.9271959633405416,,0.5083672785289195,30.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
nsl_kdd,binary,feature_learning,LogisticRegression,l1_selected,feature_representation,0.7513307310149042,0.7508206367229283,0.7492593481155274,0.6201979272188888,0.92462156317578,,0.5542962210515521,55.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
nsl_kdd,binary,feature_learning,LogisticRegression,autoencoder_embedding_16,feature_representation,0.7580287437899219,0.7575919172458649,0.7561668676423686,0.6285358061248344,0.9291525074657604,,0.5666334568920984,16.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,raw_all_features,feature_representation,0.821175,0.7521142094775854,0.8439641122800958,0.7925969447708578,0.9843959731543624,,0.5915860164879512,39.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,mutual_info_top_30,feature_representation,0.8205,0.7514601878388438,0.843417209254519,0.7917450058754406,0.984731543624161,,0.5908236313657094,30.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,pca_30,feature_representation,0.818625,0.7494755075079544,0.8418722597885464,0.7896592244418331,0.9840604026845636,,0.5879385361689294,30.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,l1_selected,feature_representation,0.820925,0.7518765567268251,0.8437622629545276,0.7922737955346651,0.9845637583892616,,0.5913244555567229,35.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,autoencoder_embedding_16,feature_representation,0.835025,0.7627363717436173,0.8546728127708025,0.8149236192714454,0.9498322147651008,,0.5948064904108632,16.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
nsl_kdd,binary,neural_ablation,MLP,baseline_relu_1x64,neural_mlp_ablation,0.7537260468417317,0.7532463416514226,0.7517396619691837,0.6233148912958778,0.9260632272680466,,0.5586244338092113,8002.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,neural_ablation,MLP,activation_tanh,neural_mlp_ablation,0.7576738821859474,0.7572964684814035,0.75597106287332,0.6308735291825762,0.9252394192153228,,0.5642438669089017,8002.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,neural_ablation,MLP,activation_gelu,neural_mlp_ablation,0.7508427963094393,0.7503124420693137,0.7487188271148647,0.6190290656900179,0.925033467202142,,0.5537525237929631,8002.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,neural_ablation,MLP,dropout_0.30,neural_mlp_ablation,0.7526171043293116,0.7521046511905088,0.750543793922858,0.6211330164419855,0.926372155287818,,0.5570883918168006,8002.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,neural_ablation,MLP,batchnorm,neural_mlp_ablation,0.767876153300213,0.7676463374165824,0.766634369590497,0.6468479700771449,0.9278138193800844,,0.5810285676672727,8130.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,neural_ablation,MLP,deeper_2x128_64,neural_mlp_ablation,0.7663236337828248,0.7660633350680157,0.7649826800312686,0.6438089301020806,0.9282257234064464,,0.578840384594266,24130.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,neural_ablation,MLP,weighted_cross_entropy,neural_mlp_ablation,0.761222498225692,0.7609115574177433,0.7597175141183389,0.6369516091327048,0.9254453712285038,,0.569757656752888,8002.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,neural_ablation,MLP,focal_loss,neural_mlp_ablation,0.7700496806245565,0.7698722389092345,0.7689872979583801,0.6519909608041767,0.9260632272680466,,0.5835737706914209,8002.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,neural_ablation,MLP,label_smoothing_0.05,neural_mlp_ablation,0.7760379701916252,0.7759299432028082,0.7752486093460673,0.6623548663601652,0.9262691792812274,,0.5928984956734057,8002.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,normal_only_anomaly,IsolationForest,q=0.90,unsupervised_anomaly,0.8318843151171044,0.8313889030118824,,0.7783059300241565,0.9026876737720112,DoS 0.915; Probe 0.995; R2L 0.251; U2R 0.507,,,,,,,results/anomaly_detection.csv,normal-only training; threshold from normal quantiles
nsl_kdd,binary,normal_only_anomaly,IsolationForest,q=0.95,unsupervised_anomaly,0.8095723917672107,0.8095109139848826,,0.7268760227538378,0.918854906806714,DoS 0.879; Probe 0.990; R2L 0.121; U2R 0.373,,,,,,,results/anomaly_detection.csv,normal-only training; threshold from normal quantiles
nsl_kdd,binary,normal_only_anomaly,IsolationForest,q=0.99,unsupervised_anomaly,0.7967973740241305,0.7963342760060428,,0.6579911166523806,0.9802286067346307,DoS 0.847; Probe 0.850; R2L 0.021; U2R 0.060,,,,,,,results/anomaly_detection.csv,normal-only training; threshold from normal quantiles
nsl_kdd,binary,normal_only_anomaly,LocalOutlierFactor,q=0.90,unsupervised_anomaly,0.7397533711852378,0.7397318499697645,,0.6417829034520377,0.8692204716301102,DoS 0.646; Probe 0.791; R2L 0.503; U2R 0.701,,,,,,,results/anomaly_detection.csv,normal-only training; threshold from normal quantiles
nsl_kdd,binary,normal_only_anomaly,LocalOutlierFactor,q=0.95,unsupervised_anomaly,0.6276171043293116,0.6159397766758306,,0.3981142367334216,0.9309030995777984,DoS 0.367; Probe 0.430; R2L 0.447; U2R 0.597,,,,,,,results/anomaly_detection.csv,normal-only training; threshold from normal quantiles
nsl_kdd,binary,normal_only_anomaly,LocalOutlierFactor,q=0.99,unsupervised_anomaly,0.4387863733144074,0.3212888510546793,,0.0199485700927296,0.9922767995057152,DoS 0.000; Probe 0.000; R2L 0.085; U2R 0.119,,,,,,,results/anomaly_detection.csv,normal-only training; threshold from normal quantiles
nsl_kdd,binary,normal_only_anomaly,KMeans_distance,q=0.90,unsupervised_anomaly,0.8419091554293825,0.8413435861624956,,0.7919426478609835,0.9079394501081248,DoS 0.923; Probe 0.972; R2L 0.304; U2R 0.657,,,,,,,results/anomaly_detection.csv,normal-only training; threshold from normal quantiles
nsl_kdd,binary,normal_only_anomaly,KMeans_distance,q=0.95,unsupervised_anomaly,0.7887686302342086,0.7887563338156294,,0.6861217174472064,0.9244156111625992,DoS 0.776; Probe 0.899; R2L 0.276; U2R 0.657,,,,,,,results/anomaly_detection.csv,normal-only training; threshold from normal quantiles
nsl_kdd,binary,normal_only_anomaly,KMeans_distance,q=0.99,unsupervised_anomaly,0.4676188786373314,0.3758098427091975,,0.0738720486246396,0.9879518072289156,DoS 0.002; Probe 0.164; R2L 0.171; U2R 0.612,,,,,,,results/anomaly_detection.csv,normal-only training; threshold from normal quantiles
nsl_kdd,binary,semi_supervised,labelled_only_logreg,0.01 labels,label_budget,0.727555003548616,0.7261197153037886,,0.5754694927140964,0.9285346514262176,,,1259.0,,,,,results/semi_supervised.csv,binary only; self-training only
nsl_kdd,binary,semi_supervised,self_training_logreg,0.01 labels,label_budget,0.7221877217885024,0.7204626186578837,,0.5653393594638821,0.9294614354855318,,,1259.0,,,,,results/semi_supervised.csv,binary only; self-training only
nsl_kdd,binary,semi_supervised,labelled_only_logreg,0.05 labels,label_budget,0.747959545777147,0.7474384648581531,,0.6170809631418998,0.9209144269385232,,,6299.0,,,,,results/semi_supervised.csv,binary only; self-training only
nsl_kdd,binary,semi_supervised,self_training_logreg,0.05 labels,label_budget,0.7372249822569198,0.7363831023405316,,0.5979116340684174,0.9213263309648853,,,6299.0,,,,,results/semi_supervised.csv,binary only; self-training only
nsl_kdd,binary,semi_supervised,labelled_only_logreg,0.10 labels,label_budget,0.7546575585521647,0.7542438200273012,,0.6268214758824905,0.9235918031098754,,,12597.0,,,,,results/semi_supervised.csv,binary only; self-training only
nsl_kdd,binary,semi_supervised,self_training_logreg,0.10 labels,label_budget,0.7468506032647267,0.7462409482544647,,0.6129509857398894,0.9237977551230564,,,12597.0,,,,,results/semi_supervised.csv,binary only; self-training only
nsl_kdd,binary,semi_supervised,labelled_only_logreg,0.25 labels,label_budget,0.7539921930447125,0.7535452855429304,,0.6248733733343723,0.92462156317578,,,31494.0,,,,,results/semi_supervised.csv,binary only; self-training only
nsl_kdd,binary,semi_supervised,self_training_logreg,0.25 labels,label_budget,0.7523509581263307,0.7518676014924169,,0.6220681056650822,0.9245185871691896,,,31494.0,,,,,results/semi_supervised.csv,binary only; self-training only
nsl_kdd,binary,online_learning_proxy,SGD_log_loss_balanced,chunk=10000,online_partial_fit,0.7644162526614621,0.7641803694331959,,0.6436530818982311,0.9240037071362373,,,,,,,,results/online_learning.csv,NSL-KDD file order is not chronological drift
nsl_kdd,binary,online_learning_proxy,SGD_passive_aggressive_balanced,chunk=10000,online_partial_fit,0.7367814052519518,0.73583129764654,,0.5944829735837295,0.924827515188961,,,,,,,,results/online_learning.csv,NSL-KDD file order is not chronological drift
nsl_kdd,binary,soc_simulation,LogReg,default_0.50,operational_policy,,0.7535187848579559,,0.6237824359074262,0.9260632272680466,,,,73567.08886829366,76686.0010478308,1881.0878204628689,0.0406712064382102,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,LogReg,validation_F1,operational_policy,,0.7584937196450245,,0.6360944440115328,0.9209144269385232,,,,78690.14519616941,81870.61741622708,1819.527779942336,0.0388475416508497,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,LogReg,validation_F2_attack_recall_weighted,operational_policy,,0.78304445448042,,0.690485467154991,0.9053650499433632,,,,94161.77530635362,97614.20264212856,1547.5726642250447,0.0353680841755393,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,LogReg_balanced,default_0.50,operational_policy,,0.7538989270415251,,0.6251071456401465,0.9251364432087325,,,,74489.23900731122,77614.77473551195,1874.4642717992676,0.0402698550482382,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,LogReg_balanced,validation_F1,operational_policy,,0.7593642389067109,,0.6382763188654251,0.9199876428792092,,,,79612.29533518685,82803.67692951398,1808.6184056728744,0.038541544441846,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,LogReg_balanced,validation_F2_attack_recall_weighted,operational_policy,,0.7790960071035504,,0.6812904231278735,0.9083513541344866,,,,91190.40263618578,94596.85475182516,1593.547884360633,0.0360102048273824,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,ExtraTrees_balanced,default_0.50,operational_policy,,0.7875817865402038,,0.6487181485233383,0.972299454227165,,,,27562.043043970807,30805.6337865875,1756.4092573833084,0.1052921282219787,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,ExtraTrees_balanced,validation_F1,operational_policy,,0.7853081047408299,,0.6447440193251773,0.9724024302337556,,,,27459.58191741317,30683.302014039054,1776.2799033741132,0.1050643146279003,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,ExtraTrees_balanced,validation_F2_attack_recall_weighted,operational_policy,,0.8126017649461187,,0.7314735447673966,0.9199876428792092,,,,79612.29533518685,83269.66305902383,1342.6322761630172,0.0439219709733248,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,HistGB_balanced,default_0.50,operational_policy,,0.796826263012123,,0.6650042858256059,0.9717845741942128,,,,28074.34867675824,31399.370105886268,1674.9785708719703,0.1058945264798387,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,HistGB_balanced,validation_F1,operational_policy,,0.8159269525173112,,0.6987454219590119,0.9709607661414892,,,,28894.03768921826,32387.76479901332,1506.2728902049405,0.1078718192340798,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
nsl_kdd,binary,soc_simulation,HistGB_balanced,validation_F2_attack_recall_weighted,operational_policy,,0.8230311813599127,,0.7123042156939141,0.969416126042632,,,,30430.954587581105,33992.475666050675,1438.4789215304295,0.1047738068112106,results/soc_simulation.csv,fixed scenario: 1M flows/day and 0.5% malicious
